Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags,Source,ICP Match
Our Serviceworks,ourserviceworks.com,Warehousing and Storage,"Carrollton, Texas, United States",51-200,https://www.linkedin.com/company/our-serviceworks,Our Serviceworks is a company that specializes in brand-focused outsourced fulfillment and customer care services.,privately held,,,Yes
Cedar Grove Warehouse,cedargrovewarehouse.com,Warehousing and Storage,"Cedar Grove, Wisconsin, United States",51-200,https://www.linkedin.com/company/cedar-grove-warehousing-llc,"CEDAR GROVE WAREHOUSING is a warehousing and logistics company that offers full-service dock-to-dock solutions, including railcar cross-docking, refrigerated, freezer, and dry storage in an SQF certified facility.",privately held,,,Yes
FuturePro Logistics,futureprologistics.com,Warehousing and Storage,"West Hamburg, Pennsylvania, United States",51-200,https://www.linkedin.com/company/futurepro-logistics,"FuturePro Logistics is a logistics company that provides warehousing solutions designed to grow and adapt with businesses, offering peace of mind for fulfilment and logistical needs.",public company,,,Yes
JB Hudco,jbhudco.com,Warehousing and Storage,"Carrollton, Texas, United States",51-200,https://www.linkedin.com/company/jb-hudco,"JB Hudco is a warehousing and fulfillment company that specializes in distribution services, supported by innovative technology and exceptional customer service.",privately held,,,Yes
PL Slaton Inc,plslaton.com,Warehousing and Storage,"Grand Rapids, Michigan, United States",51-200,https://www.linkedin.com/company/pl-slaton-inc,"PL Slaton is a logistics company that specializes in operations and logistics solutions, offering warehousing, distribution, freight handling, and product handling services.",privately held,,,Yes
Hayes,hayesco.com,Warehousing and Storage,"Mesquite, Texas, United States",201-500,https://www.linkedin.com/company/hayescompanyllc,Hayes is a provider of construction equipment and industrial solutions.,privately held,,,No
Don's Cold Storage,donscoldstorage.com,Warehousing and Storage,"Rogers, Arkansas, United States",51-200,https://www.linkedin.com/company/don%27s-cold-storage-%26-transportation-llc,"Don's Cold Storage & Transportation is a logistics company that offers cold storage and refrigerated transportation services, providing a comprehensive supply chain solution with real-time data availability.",partnership,,,Yes
Sky Logistics & Distribution,skylogistics.com,Warehousing and Storage,"Fargo, North Dakota, United States",51-200,https://www.linkedin.com/company/sky-logistics-%26-distributions-inc.,Sky Logistics & Distribution is a logistics and distribution company that focuses on providing higher customer satisfaction and innovative solutions for increased efficiencies.,privately held,,,Yes
Forte Frozen,fortefrozen.com,Warehousing and Storage,"Denton, Texas, United States",51-200,https://www.linkedin.com/company/fortefrozen,Forte Frozen is a temperature-controlled warehousing and distribution company that specializes in e-Commerce order fulfillment and fast delivery across the United States.,privately held,,,Yes
J&D Refrigerated Services,jdrefrigerated.com,Warehousing and Storage,"Clackamas, Oregon, United States",51-200,https://www.linkedin.com/company/jdrefrigeratedservices,"J&D Refrigerated Services is a refrigerated storage services company that offers storage space for dry, chilled, and frozen items with a focus on customer service and personal touch.",privately held,,,Yes
MAI Fulfillment,maifulfillment.com,Warehousing and Storage,"Elgin, Illinois, United States",51-200,https://www.linkedin.com/company/mai-fulfillment,"MAI Fulfillment 3PL Company specializing in DTC & B2B Order Fulfillment, Warehousing, Kitting, FBA Prep, etc. Learn more about our services!",privately held,,,Yes
Facility Logistic Services,faclog.com,Warehousing and Storage,"Lexington, North Carolina, United States",201-500,https://www.linkedin.com/company/facility-logistic-services,Facility Logistic Services Home is a logistics company that specializes in home services and supply chain solutions.,public company,,,Yes
Terminal Transfer,terminaltransfer.com,Warehousing and Storage,"Portland, Oregon, United States",51-200,https://www.linkedin.com/company/terminal-transfer-inc-,Terminal Transfer is a transportation and warehousing company that specializes in providing high-quality warehousing and transportation services in the Northwest region.,public company,,,Yes
Montage Fulfillment LLC.,montagefulfillment.com,Warehousing and Storage,"United States, California",201-500,https://www.linkedin.com/company/west-coast-distribution-inc.,"We are the best West Coast order fulfillment company in Los Angeles California, offering proactive management of logistics, inventory & supply chain operations.",privately held,,,Yes
Refrig-IT,refrigit.com,Warehousing and Storage,"Kearny, New Jersey, United States",51-200,https://www.linkedin.com/company/refrig-it-warehouse,"Refrig-IT is a cold storage warehousing company that provides full-service public cold storage facilities conveniently located in South Kearny, New Jersey.",privately held,,,Yes
NorthPoint Fresh,northpointfresh.com,Warehousing and Storage,"Chicago, Illinois, United States",51-200,https://www.linkedin.com/company/northpoint-fresh,NorthPoint Fresh is a logistics company that specializes in temperature controlled warehousing and final mile distribution services with a focus on flexibility and high-touch solutions.,privately held,,,Yes
Encore Fulfillment,encore3pl.com,Warehousing and Storage,"Oklahoma City, Oklahoma, United States",51-200,https://www.linkedin.com/company/encore-fulfillment,,privately held,,,Yes
Distribution 2000 Inc.,dist2000.com,Warehousing and Storage,"Romeoville, Illinois, United States",51-200,https://www.linkedin.com/company/distribution-2000-inc-,"Distribution 2000 is a distributor in the specialty foods and fast moving consumer packaged goods industry, specializing in high profile organic, gourmet, and artisan foods and consumer products.",privately held,,,Yes
Faure Brothers Corporation,faurebros.com,Warehousing and Storage,"Calumet City, Illinois, United States",51-200,https://www.linkedin.com/company/faure-brothers-corporation,"Faure Brothers Corporation is a leader in the third-party warehousing and distribution industry, providing solutions for companies' warehousing and distribution needs since 1906.",privately held,,,Yes
Adcco Incorporated,adcco.com,Warehousing and Storage,"Lynn, Massachusetts, United States",51-200,https://www.linkedin.com/company/adcco-distribution-transportation,"Adcco Incorporated is a transportation and distribution third-party logistics (3PL) company that offers services such as Freight Bill Auditing and Payment, Carrier Negotiations, and Transportation Consulting.",privately held,,,Yes
Progressive Logistics,progressivelogistics.com,Warehousing and Storage,"Greenfield, Indiana, United States",51-200,https://www.linkedin.com/company/progressive-logistics,"Progressive Logistics is a logistics company that specializes in warehousing, transportation, and logistics management with over 30 years of industry experience.",privately held,,,Yes
Komar Distribution,komardistribution.com,Warehousing and Storage,"McAlester, Oklahoma, United States",201-500,https://www.linkedin.com/company/komar-distrubution-services,"Komar Distribution Services is a logistics company that specializes in distribution, supply chain management, warehousing, and inventory management.",privately held,,,Yes
Ice Cube Cold Storage & Logistics,icecubecoldstorage.com,Warehousing and Storage,"Fall River, Massachusetts, United States",201-500,https://www.linkedin.com/company/icecubecoldstorage,"Ice Cube is a cold storage and logistics company that offers temperature control space, along with a complete array of logistics and transportation services.",privately held,,,Yes
International Warehouse Group inc,shipiwg.com,Warehousing and Storage,"Melville, New York, United States",201-500,https://www.linkedin.com/company/shipiwg,,privately held,,,Yes
JOCOR Distro,jocordistro.com,Warehousing and Storage,"Honolulu, Hawaii, United States",51-200,https://www.linkedin.com/company/jocor-distro,JOCOR Distro is a retail distribution company that provides specialty products and services to improve supply efficiencies in Hawaii.,privately held,,,Yes
Crossroads Cooperative Association,crossroadscoop.com,Warehousing and Storage,"Sidney, Nebraska, United States",51-200,https://www.linkedin.com/company/crossroads-cooperative-association,,privately held,,,No
PFP Logistics,pfplogistics.com,Warehousing and Storage,"Charleston, South Carolina, United States",201-500,https://www.linkedin.com/company/pay-for-performance-logistics,"PFP Logistics is a logistics company that provides comprehensive transportation, supply chain, and warehousing solutions.",privately held,,,Yes
Fulfillment,fswi.com,Warehousing and Storage,"Sturtevant, Wisconsin, United States",51-200,https://www.linkedin.com/company/fulfillment-specialists-of-wisconsin,Fulfillment Specialist of Wisconsin (FSWI) is a 3PL provider offering full-service shipping logistics strategically located in the Midwest with access to continental USA and Global shipping points.,privately held,,,Yes
Tatsumi USA,tatsumiusa.com,Warehousing and Storage,"Gainesville, Georgia, United States",51-200,https://www.linkedin.com/company/asahi-works-america-co.-ltd.,Tatsumi USA is a warehousing and distribution company that offers convenient full-service storage solutions in their industrial facility.,public company,,,Yes
Rickman Enterprise Group,rickmanenterprise.com,Warehousing and Storage,"Detroit, Michigan, United States",51-200,https://www.linkedin.com/company/rickman-enterprise-group-llc,"Rickman Enterprise Group is a logistics company that offers warehousing, transportation services, and a training facility with the latest technology.",privately held,,,Yes
Cold-Link Logistics,cold-linklogistics.com,Warehousing and Storage,"Miami, Florida, United States",201-500,https://www.linkedin.com/company/cold-link-logistics,"Cold-Link Logistics is a Third-Party Logistics Company that specializes in designing specific solutions for the Cold Chain industry, focusing on innovation and efficiency.",privately held,,,Yes
FFE Solutions Group LLC,ffesg.com,Warehousing and Storage,"Salt Lake City, Utah, United States",51-200,https://www.linkedin.com/company/ffesg,"FFE Solutions Group is a full-service 3rd Party Logistics provider. We provide 3PL services such as Kitting, Custom Packaging, Shrink Wrapping, Custom Marking, Storage and Fulfillment.",privately held,,,Yes
Infinity Global Distribution,igdistribution.net,Warehousing and Storage,"Tacoma, Washington, United States",51-200,https://www.linkedin.com/company/infinity-global-distribution-llc,"Distribution is a global transportation and warehousing company that offers full transportation and in-house brokerage services, providing cost-saving options for clients in the global market.",privately held,,,Yes
City Line Distibutors,citylinefoods.com,Warehousing and Storage,"West Haven, Connecticut, United States",201-500,https://www.linkedin.com/company/city-line-foods,,privately held,,,No
"GFA AL, INC",gfany.com,Warehousing and Storage,"Valley, Alabama, United States",201-500,https://www.linkedin.com/company/gfa-alabama-inc,GFANY is a finance company that offers investment and banking services.,self owned,,,No
DIY Group,diygroup.com,Warehousing and Storage,"Muncie, Indiana, United States",201-500,https://www.linkedin.com/company/diy-group-inc.,DIY Group is a home improvement company that offers tools and hardware for construction projects.,privately held,,,No
WHCI,whcisupply.com,Warehousing and Storage,"Union City, California, United States",51-200,https://www.linkedin.com/company/whci-plumbing-supply-co,"WHCI Plumbing Supply is a plumbing supply company that serves contractors in the San Francisco Bay Area, providing products and expertise to complete projects on time and within budget.",privately held,,,No
TCG Continuum,tcgcontinuum.com,Warehousing and Storage,"Grove City, Ohio, United States",51-200,https://www.linkedin.com/company/tcg-continuum-llc,,privately held,,,Yes
Legendz Way,legendzway.com,Warehousing and Storage,"Grand Prairie, Texas, United States",51-200,https://www.linkedin.com/company/legendz-way-distribution-solutions-ltd,LegendzWay is a logistics company that specializes in moving goods efficiently with a focus on grit and innovation.,privately held,,,Yes
Lynch Metals,lynchmetals.com,Warehousing and Storage,"Union, New Jersey, United States",51-200,https://www.linkedin.com/company/lynch-metals,"Lynch Metals is a metal distribution company that specializes in being the most versatile and complete stocking distributor of aluminum brazing sheet and foil, focusing on the aerospace and automotive heat transfer markets with custom stocking programs.",public company,,,Yes
Dothan Warehouse,dothanwarehouse.com,Warehousing and Storage,"Dothan, Alabama, United States",51-200,https://www.linkedin.com/company/dothan-warehouse,"Dothan Warehouse is a logistics company that specializes in temperature-controlled 3PL solutions, providing efficient and reliable service from a strategic location in Dothan, Alabama.",privately held,,,Yes
WB Warehousing,wbwarehousing.com,Warehousing and Storage,"West Bend, Wisconsin, United States",51-200,https://www.linkedin.com/company/wbwarehousing,"WB Warehousing 
& Logistics is a logistics and distribution company that offers flexible solutions to enhance customer competitiveness through improved inventory management and reduced shipment lead times.",privately held,,,Yes
Carolina Rework Solutions,carolinareworksolutions.com,Warehousing and Storage,"Hickory, North Carolina, United States",51-200,https://www.linkedin.com/company/crs3pl,Carolina Rework Solutions is a packaging solutions company that offers brand management and rework services as a trusted partner for leading brands.,privately held,,,Yes
Noamex,noamex.com,Warehousing and Storage,"Brooklyn, New York, United States",51-200,https://www.linkedin.com/company/noamex-inc.,"Noamex is a logistics company that provides warehousing, transport, shipping, and 3rd Party Logistics services.",privately held,,,Yes
Coast Global Corporation,coastglobalcorp.com,Warehousing and Storage,"Swedesboro, New Jersey, United States",51-200,https://www.linkedin.com/company/coast-global-corporation,"Coast Global Corporation is a logistics company that specializes in Intermodal Drayage, Trucking, Distribution, Warehousing, and Inventory Control Management.",privately held,,,Yes
White Horse Logistics,whitehorselogistics.com,Warehousing and Storage,"Ontario, California, United States",501-1000,https://www.linkedin.com/company/white-horse-logistics-inc,"White Horse Logistics is a logistics company that provides transportation, supply chain management, warehousing, and freight services.",privately held,,,Yes
ProTech Quality Solutions,protechquality.com,Warehousing and Storage,"Shepherdsville, Kentucky, United States",51-200,https://www.linkedin.com/company/pro-tech-quality-solutions,"PRO TECH's Workers' Compensation is a provider of quality solutions, specializing in warehouse distribution and logistics services.",privately held,,,Yes
Brokers Logistics,brokerslogistics.com,Warehousing and Storage,"El Paso, Texas, United States",51-200,https://www.linkedin.com/company/brokers-logistics-ltd.,,,,,Yes
KANN Enterprises,kannenterprises.com,Warehousing and Storage,"Shorewood, Illinois, United States",201-500,https://www.linkedin.com/company/kann-enterprises-inc.,,privately held,,,Yes
Brown Distribution Centers,browndistribution.com,Warehousing and Storage,"Ladson, South Carolina, United States",51-200,https://www.linkedin.com/company/brown-distribution-center,"Rogers & Brown is a logistics company that offers warehousing, distribution services and inventory management through its sister company Brown Distribution Centers.",privately held,,,Yes
All South Warehouse,allsouthwarehouse.com,Warehousing and Storage,"Atlanta, Georgia, United States",51-200,https://www.linkedin.com/company/all-south-warehouse,"All South Warehouse is a logistics company that specializes in 3PL services, food warehousing, distribution, product warehousing, and labeling with a focus on exceptional customer service.",self owned,,,Yes
Banks Cold Storage,bankscold.com,Warehousing and Storage,"Commerce, Georgia, United States",51-200,https://www.linkedin.com/company/banks-cold-storage,"Cold Storage Coming Soon Learn More Commerce Georgia Banks Cold Storage is a full service, public refrigerated warehouse operation. Our expertise in freezing, cooling and tempering enables customers to comfortably focus on their core competencies. Learn More",privately held,,,Yes
3rd Party Logistics Group,3plg.com,Warehousing and Storage,"Upper Saddle River, New Jersey, United States",51-200,https://www.linkedin.com/company/3rdpartylogisticsgroup,"3rd Party Logistics Group is a 3rd party logistics company that offers warehousing and fulfillment services with an exclusive focus on beauty brands, aiming to facilitate brand growth through a high-caliber client experience.",privately held,,,Yes
Delaware Prep & Fulfillment Center,prepcenterdelaware.com,Warehousing and Storage,"Newark, Delaware, United States",51-200,https://www.linkedin.com/company/prep-center-delaware,"Delaware Prep & Fulfillment Center is a fulfillment center that provides Amazon FBA Prep, Merchant Fulfillment, and Storage Services for clients in the eCommerce market.",partnership,,,Yes
Berryman,berrymantransfer.com,Warehousing and Storage,"Joliet, Illinois, United States",51-200,https://www.linkedin.com/company/berryman-transfer-%26-storage-co-inc.,"Berryman is a B2B logistics company that offers warehousing, inventory management, transportation, and fulfillment services with local delivery and national shipping capabilities.",privately held,,,Yes
Drayup,drayup.com,Warehousing and Storage,"Savannah, Georgia, United States",51-200,https://www.linkedin.com/company/drayup,"Drayup offers secure vehicle storage solutions. Discover our outdoor storage for containers, truck parking lots, boat storage options, and more in the USA!",privately held,,,Yes
Tyler Distribution,tylerdistribution.com,Warehousing and Storage,"Cranbury, New Jersey, United States",51-200,https://www.linkedin.com/company/tylerdistribution,"Tyler Distribution is a distribution company that specializes in warehousing operations in the central New Jersey Distribution market, with a focus on specialty food products.",privately held,,,Yes
Stone Management,stone-mgt.com,Warehousing and Storage,"2622 Seventh Ave, 12189, Watervliet, New York, United States",51-200,https://www.linkedin.com/company/stone-management-inc-warehousing-%26-transportation,"Stone Management is a logistics company that specializes in warehousing, distribution, and supply chain management with a strategic location in the Northeastern region of the U.S. and Canada.",privately held,,,Yes
PBP,pbpcorp.com,Warehousing and Storage,"Baytown, Texas, United States",51-200,https://www.linkedin.com/company/pbp-corp,"PBP is a packaging company that specializes in the packaging, warehousing, and handling of plastic resin.",privately held,,,Yes
S&B Packaging,snbpackaging.com,Warehousing and Storage,"Olive Branch, Mississippi, United States",51-200,https://www.linkedin.com/company/s-b-packaging-inc,"S&B Packaging is a packaging solutions company that offers contract packaging, assembly services, quick turnaround, creative solutions, quality commitment, and competitive pricing.",privately held,,,No
Ruff and Ready Moving,ruffandreadymoving.com,Warehousing and Storage,"Temecula, California, United States",51-200,https://www.linkedin.com/company/ruff-and-ready-moving-storage,Ruff and Ready Moving is a moving company that specializes in local and long distance moving services with a focus on client satisfaction.,public company,,,Yes
Utopia Fulfillment,utopiafulfillment.com,Warehousing and Storage,"92571, Perris, California, United States",51-200,https://www.linkedin.com/company/utopia-fulfillment,,privately held,,,Yes
Arstar Inc,arstarinc.com,Warehousing and Storage,"Guadalupe, Arizona, United States",51-200,https://www.linkedin.com/company/arstar-sa-de-cv,Arstar is a manufacturing company that specializes in producing high-quality cultured marble vanity tops using top-notch resins and offering unique designs.,public company,,,No
Long Island Frozen Storage,lifrozenstorage.com,Warehousing and Storage,"Hicksville, New York, United States",51-200,https://www.linkedin.com/company/long-island-frozen-storage,"Long Island Frozen Storage is a cold storage warehouse services provider with nearly 1.5 million cubic feet of refrigerated and frozen storage, conveniently located in Long Island.",privately held,,,Yes
MCIFF3PLMiami,mciff.com,Warehousing and Storage,"United States, Florida",1001-5000,https://www.linkedin.com/company/mciff3pl,"MCIFF3PLMiami is a third-party logistics company that specializes in transportation, freight forwarding, and supply chain management.",partnership,,,Yes
Shippers Automotive Group,shippersautomotive.com,Warehousing and Storage,"1301 Riverplace Blvd, 32207, Jacksonville, Florida, United States",201-500,https://www.linkedin.com/company/shippers-automotive-group,"Shippers Automotive Group provides efficient and reliable logistics through the transportation & storage of products, ensuring seamless supply chain operations.",privately held,,,Yes
Handy Equip,handyequip.com,Warehousing and Storage,"Florida, New York, United States",51-200,https://www.linkedin.com/company/handy-equip,Handy Equip is a warehouse equipment provider that specializes in shelving solutions and efficient layouts for enhanced warehouse performance.,self owned,,,Yes
First Plastics,firstplastics.com,Warehousing and Storage,"Leominster, Massachusetts, United States",51-200,https://www.linkedin.com/company/first-plastics,First Plastics is a plastics manufacturing company that specializes in injection molding to produce quality products at competitive prices.,,,,No
Expak Logistics,expaklogistics.com,Warehousing and Storage,"Los Angeles, California, United States",51-200,https://www.linkedin.com/company/warehouse-and-fulfillment,"Expak Logistics is a logistics company that offers agile warehousing, fulfillment, and transportation services with a focus on reliability and trust.",,,,Yes
"Storage Services in Greenville, NC",thebestmoversaround.com,Warehousing and Storage,"Wilson, North Carolina, United States",51-200,https://www.linkedin.com/company/thebestmoversaround,Movers near me. Moving help. Moving company. Local movers. Long distance movers.,self owned,,,Yes
Conquernation,conquernation.com,Warehousing and Storage,"2651 E 12th St, 90023, Los Angeles, California, United States",51-200,https://www.linkedin.com/company/conquer-nation-inc,Conquer Nation Logistics is a logistics company that specializes in providing comprehensive and tailored logistics solutions with a global presence.,privately held,,,Yes
ANTARTICA COLD,antarticacold.com,Warehousing and Storage,"San Antonio, Florida, United States",51-200,https://www.linkedin.com/company/antartica-cold,,privately held,,,Yes
Medart Marine,medartmarine.com,Warehousing and Storage,"Arnold, Missouri, United States",201-500,https://www.linkedin.com/company/medart-marine,"Medart Marine is a marine industry company that specializes in providing a variety of boat accessories, watercraft equipment, and marine electronics.",privately held,,,No
Vine Line Produce,vinelineproduce.com,Warehousing and Storage,"Comstock Park, Michigan, United States",51-200,https://www.linkedin.com/company/heeren-llc,With you from seed to table. Vine Line Produce has been delivering fresh fruits and vegetables to our valued partners throughout the Midwest for over 90 years.,privately held,,,No
Laser Transit,lasertransit.com,Warehousing and Storage,"United States, New York",51-200,https://www.linkedin.com/company/laser-transit,"Laser Transit is a logistics company that offers truckload transportation, warehousing, distribution, and pick & pack services in the New England and Ontario regions.",privately held,,,Yes
Hartley,hartleyoil.com,Warehousing and Storage,"Ravenswood, West Virginia, United States",51-200,https://www.linkedin.com/company/hartley-oil-co-inc,"Hartley is a service-based company that offers packaging, repackaging, transloading, specialty services, rail, and transportation services across various industries.",privately held,,,Yes
American Cold Storage,americancold.com,Warehousing and Storage,"Louisville, Kentucky, United States",51-200,https://www.linkedin.com/company/american-cold-storage,American Cold Storage is a cold storage services company that provides temperature-controlled storage solutions.,public company,,,Yes
Claxton Cold Storage,claxtoncoldstorage.com,Warehousing and Storage,"Claxton, Georgia, United States",51-200,https://www.linkedin.com/company/claxton-cold-storage,,privately held,,,Yes
Riegel Warehouse,riegelwarehouse.com,Warehousing and Storage,"Yaphank, New York, United States",201-500,https://www.linkedin.com/company/riegel-warehouse,,privately held,,,Yes
Bankers BMS,bankersbms.com,Warehousing and Storage,"8121 Georgia Ave., Ste. 950Silver Spring, 20910, Spring, Maryland, United States",51-200,https://www.linkedin.com/company/bankers-business-management-services,Bankers BMS delivers unparalleled logistics solutions and transport services. Contact us for quality service from a dedicated team.,privately held,,,Yes
"Hodge Distribution & Logistics, Inc.",hodgedl.com,Warehousing and Storage,"Sumter, South Carolina, United States",201-500,https://www.linkedin.com/company/hodge-distribution-%26-logistics,,self owned,,,Yes
Bassiwarehousing,bassiwarehousing.com,Warehousing and Storage,"Harrison, New Jersey, United States",51-200,https://www.linkedin.com/company/bassiwarehousing,,privately held,,,Yes
New Jersey Frozen Storage,njfrozenstorage.com,Warehousing and Storage,"Edison, New Jersey, United States",51-200,https://www.linkedin.com/company/new-jersey-frozen-storage,"New Jersey Frozen Storage is a warehouse that offers nearly 1.7 million cubic feet of refrigerated and frozen storage, conveniently located near major ports and an airport.",privately held,,,Yes
Empire CFS,empirecfs.com,Warehousing and Storage,"Compton, California, United States",501-1000,https://www.linkedin.com/company/empire-container-freight-station,"Empire CFS is a logistics company that offers freight forwarding, customs brokerage, and supply chain management services.",privately held,,,Yes
Oliver Perkins Steiger,depotparts.com,Warehousing and Storage,"Chilton, Wisconsin, United States",51-200,https://www.linkedin.com/company/the-parts-depot,,self owned,,,No
Midwest,midwestftg.com,Warehousing and Storage,"Slinger, Wisconsin, United States",51-200,https://www.linkedin.com/company/midwest-food-and-tobacco-group,"Midwest is a foodservice company that emphasizes friendliness, reliability, and local sourcing.",privately held,,,No
"Alaskan Copper Companies, Inc.",alascop.com,Warehousing and Storage,"Seattle, Washington, United States",201-500,https://www.linkedin.com/company/alaskan-copper-companies-inc.,Alaskan Copper Companies is a metal fabrication and distribution company specializing in metals processing.,,,,Yes
JUST LOGISTICS GROUP,justlogisticsgroup.com,Warehousing and Storage,"Dayton, New Jersey, United States",51-200,https://www.linkedin.com/company/just-logistics-group,JUST LOGISTICS GROUP is a logistics company that offers comprehensive warehousing and transportation expertise with a focus on customized solutions to streamline operations.,privately held,,,Yes
Okono Corporation,okono.net,Warehousing and Storage,"2761 East Plaimor Avenue, 92262, Palm Springs, California, United States",51-200,https://www.linkedin.com/company/okono-corporation,⭕ THE OKONO CORPORATION GROUPSTRENGTH • EXPERIENCE • SUCCESS | DISCOUNT DIRECTIONALS | STEELINE RAILINGS | DISCOVER THE OKONO ADVANTAGE,public company,,,No
Inglese Box Company,inglesebox.com,Warehousing and Storage,"Huntley, Illinois, United States",51-200,https://www.linkedin.com/company/inglese-box-company,,privately held,,,No
Optimum Logistics Services,optimumlogisticsservices.com,Warehousing and Storage,"Columbus, Ohio, United States",201-500,https://www.linkedin.com/company/optimum-logistics-service,,privately held,,,Yes
"County 20 Storage & Transfer, Inc",county20.com,Warehousing and Storage,"Fargo, North Dakota, United States",51-200,https://www.linkedin.com/company/county20,,privately held,,,Yes
TRG Fulfillment Warehouse,fulfillmentwarehouse.com,Warehousing and Storage,"Los Angeles, California, United States",51-200,https://www.linkedin.com/company/trg-fulfillment,"With over 25 years of experience, TRG Fulfillment has extensive expertise in warehousing, Logistics, and B2B/B2C fulfillment services.",privately held,,,Yes
Order Fulfillment Solutions,ofs3pl.com,Warehousing and Storage,"Columbus, Ohio, United States",51-200,https://www.linkedin.com/company/order-fulfillment-solutions,Order Fulfillment Solutions is a logistics company that offers technology-driven solutions to optimize supply chain management and increase operational efficiency.,public company,,,Yes
Wagner Warehousing,wagnerwarehousing.com,Warehousing and Storage,"Paducah, Kentucky, United States",51-200,https://www.linkedin.com/company/wagner-warehousing,"Looking for an experienced, comprehensive third-party logistics and warehousing provider? At Wagner Warehousing, we’re not just a storage facility.",privately held,,,Yes
RAD Wood Products,radwoodproducts.com,Warehousing and Storage,"Nescopeck, Pennsylvania, United States",51-200,https://www.linkedin.com/company/rad-engineered-wood-products,RAD Wood Products is a manufacturer of high-quality traditional Oak and Mixed Hardwood flooring for the trailer and box truck markets.,privately held,,,No
Jenson Books,jensonbooks.com,Warehousing and Storage,"Logan, Utah, United States",51-200,https://www.linkedin.com/company/jensonbooks,by Jenson Books is an online bookstore that specializes in selling second-hand books acquired from thrift stores nationwide.,self owned,,,No
Touchpoint Logistics,touchpointlogistics.com,Warehousing and Storage,"Joliet, Illinois, United States",51-200,https://www.linkedin.com/company/touchpoint-logistics-inc,,self owned,,,Yes
Walla Walla River Sweet Onions,wallawallariversweetonions.com,Warehousing and Storage,"Walla Walla, Washington, United States",51-200,https://www.linkedin.com/company/wallawallasweetonion,,partnership,,,No
Rock Salt Today,rocksalttoday.com,Warehousing and Storage,"Houston, Texas, United States",51-200,https://www.linkedin.com/company/rocksalttoday,"Rock Salt Today is a bulk rock salt supplier and wholesaler serving various locations across the Midwest, East Coast, and West Coast.",self employed,,,No
National Commercial Warehouse,nationalcommercialwarehouse.com,Warehousing and Storage,"Cleveland, Ohio, United States",51-200,https://www.linkedin.com/company/national-commercial-warehouse,“Flexing Your Business!” on National Commercial Warehouse…,privately held,,,Yes
MKM Distribution,mkmdistribution.com,Warehousing and Storage,"Indianapolis, Indiana, United States",201-500,https://www.linkedin.com/company/mkm-distribution-services-inc-,"Logistics, custom kitting, e-commerce fulfillment. We've provided outstanding service and custom distribution and fulfillment for over almost 40 years. We know the territory.",privately held,,,Yes
Summit Cold Storage,summitcoldstorage.com,Warehousing and Storage,"United States, Illinois",51-200,https://www.linkedin.com/company/summit-cold-storage-inc.,"Summit Cold Storage, Inc. is a full service public cold storage warehouse and logistics operation in Summit, IL",privately held,,,Yes
LT Molding Solutions,ltmolding.com,Warehousing and Storage,"Hudson, Florida, United States",201-500,https://www.linkedin.com/company/little-tikes-molding-solutions,,privately held,,,No
Perfect Retention,perfectretention.com,Warehousing and Storage,"Brooklyn, New York, United States",201-500,https://www.linkedin.com/company/perfectretention,Perfect Retention offers various furniture and reliable document storage options in New York and New Jersey for your personal and business needs.,privately held,,,Yes
Global Freezer,globalfreezer.com,Warehousing and Storage,"Plant City, Florida, United States",51-200,https://www.linkedin.com/company/global-freezer,Global Freezer is a frozen storage specialists with more than 10 years of experience in refrigerated warehousing. Visit our freezer warehouses in Florida!,self owned,,,Yes
California Distribution,californiadistribution.com,Warehousing and Storage,"Cerritos, California, United States",51-200,https://www.linkedin.com/company/california-distribution,,,,,Yes
Taylored Services,tayloredservices.com,Warehousing and Storage,"Edison, New Jersey, United States",201-500,https://www.linkedin.com/company/taylored-services,"Taylored is the trusted partner for 3PL warehouse, distribution, and fulfillment in North America. Contact us to take your business to the next level.",privately held,,,Yes
Capitol Level One,capitollevelone.com,Warehousing and Storage,"Las Vegas, Nevada, United States",51-200,https://www.linkedin.com/company/capitol-level-one,"Capitol Level One is a company that specializes in office and industrial relocation, focusing on minimizing downtime for businesses by planning and executing quick relocations to ensure operational continuity.",privately held,,,Yes
General Service Company GSC SUFFOLK,gscwarehouse.com,Warehousing and Storage,"Suffolk, Virginia, United States",51-200,https://www.linkedin.com/company/general-service-company-gsc-suffolk,"Discover efficient warehousing, fulfillment, and packaging solutions near Norfolk to optimize your supply chain and reduce costs.",privately held,,,Yes
International Wire Products,intlwireproducts.com,Warehousing and Storage,"United States, Texas",51-200,https://www.linkedin.com/company/international-wire-products-decks,International Wire Products is a manufacturing company that offers materials handling products for warehouses and wire forms with the highest standards in the market.,self employed,,,Yes
Frozen3PL,frozen3pl.com,Warehousing and Storage,"Edison, New Jersey, United States",51-200,https://www.linkedin.com/company/frozen3pl,"Frozen3PL is a logistics company that specializes in multi-temperature storage and transportation solutions, with USDA approved clean rooms for value added services.",partnership,,,Yes
Best Freezer Storage,bestfreezerstorage.com,Warehousing and Storage,"Miami, Florida, United States",51-200,https://www.linkedin.com/company/bestfreezer,"Offering innovative supply chain solutions to cold storage warehousing, pick and pack fulfillment, order processing and E-comerce Fulfilment.",privately held,,,Yes
CSL Fulfillment,cslfulfillment.com,Warehousing and Storage,"Heber City, Utah, United States",51-200,https://www.linkedin.com/company/csl-fulfillment,,privately held,,,Yes
